Sample	Sense	Antisense	Undetermined
CONTROL_0hr_1	1.48	92.46	6.05
CONTROL_0hr_2	18.84	78.51	2.65
CONTROL_0hr_3	5.84	89.62	4.54
CONTROL_0hr_4	1.23	86.26	12.509999999999998
CONTROL_0hr_5	0.89	89.75	9.36
CONTROL_1hr_1	0.67	98.41	0.9199999999999999
CONTROL_1hr_2	1.31	93.76	4.93
CONTROL_1hr_4	0.44	99.36	0.19
CONTROL_1hr_5	0.8	98.19	1.02
CONTROL_24hr_1	0.69	92.43	6.88
CONTROL_24hr_2	0.8099999999999999	91.06	8.129999999999999
CONTROL_24hr_3	0.62	91.11	8.28
CONTROL_24hr_4	0.84	98.2	0.95
CONTROL_24hr_5	6.800000000000001	88.01	5.19
LIF_1hr_1	0.8999999999999999	97.6	1.5
LIF_1hr_2	5.24	90.78	3.9800000000000004
LIF_1hr_3	0.91	89.89	9.2
LIF_1hr_4	0.83	97.99	1.18
LIF_1hr_5	0.8	93.96	5.24
LIF_24hr_1	0.6	90.27	9.13
LIF_24hr_2	0.74	91.64999999999999	7.61
LIF_24hr_3	0.9199999999999999	94.38	4.6899999999999995
LIF_24hr_4	0.5499999999999999	99.42999999999999	0.02
LIF_24hr_5	3.63	92.02	4.36
control_1hr_3	0.8500000000000001	97.09	2.06
